linha_id,linha,origem,uf_origem,destino,uf_destino,corredor,classe,perfil,km,faixa_distancia,assentos,frequencia_semanal,duracao_horas,tripulantes,dupla_tripulacao,ocupacao_base,fator_tarifa,amplitude_sazonal,tarifa_km_referencia,variavel_km,tripulacao_partida
L01,Goiania GO - Brasilia DF,Goiania,GO,Brasilia,DF,CENTRO_OESTE,EXECUTIVO,CORPORATIVO,209,ate 300 km,44,42,3.48,1,nao,0.72,0.95,0.4,0.2279,3.90237386569873,165.88
L02,Recife PE - Maceio AL,Recife,PE,Maceio,AL,NORDESTE,CONVENCIONAL,MISTO,258,ate 300 km,46,28,4.3,1,nao,0.7,1.0,0.8,0.1971,3.7734728682170546,191.29999999999998
L03,Curitiba PR - Florianopolis SC,Curitiba,PR,Florianopolis,SC,SUL,EXECUTIVO,LAZER,300,ate 300 km,44,21,5.0,1,nao,0.68,1.02,1.3,0.2292,3.8556896551724145,213.0
L04,Salvador BA - Aracaju SE,Salvador,BA,Aracaju,SE,NORDESTE,EXECUTIVO,MISTO,356,301 a 600 km,44,21,5.93,1,nao,0.66,0.98,1.0,0.2136,3.7819874079814033,241.82999999999998
L05,Sao Paulo SP - Curitiba PR,Sao Paulo,SP,Curitiba,PR,SUDESTE,SEMILEITO,MISTO,408,301 a 600 km,42,35,6.8,1,nao,0.71,1.0,0.7,0.2593,3.960187165775401,268.79999999999995
L06,Sao Paulo SP - Rio de Janeiro RJ,Sao Paulo,SP,Rio de Janeiro,RJ,SUDESTE,EXECUTIVO,CORPORATIVO,429,301 a 600 km,44,49,7.15,1,nao,0.74,0.92,0.6,0.1939,3.8375544570372164,279.65
L07,Belo Horizonte MG - Rio de Janeiro RJ,Belo Horizonte,MG,Rio de Janeiro,RJ,SUDESTE,SEMILEITO,MISTO,434,301 a 600 km,42,28,7.23,1,nao,0.64,0.95,0.9,0.2436,3.9514327607875996,282.13
L08,Porto Alegre RS - Florianopolis SC,Porto Alegre,RS,Florianopolis,SC,SUL,SEMILEITO,LAZER,476,301 a 600 km,42,21,7.93,1,nao,0.67,1.0,1.2,0.2522,3.8996619556913674,303.83
L09,Vitoria ES - Rio de Janeiro RJ,Vitoria,ES,Rio de Janeiro,RJ,SUDESTE,EXECUTIVO,MISTO,521,301 a 600 km,44,21,8.68,1,nao,0.62,0.96,0.9,0.1953,3.8134823615063875,327.08
L10,Natal RN - Fortaleza CE,Natal,RN,Fortaleza,CE,NORDESTE,CONVENCIONAL,LAZER,537,301 a 600 km,46,14,8.95,1,nao,0.66,1.0,1.1,0.1728,3.656674115456239,335.45
L11,Sao Paulo SP - Belo Horizonte MG,Sao Paulo,SP,Belo Horizonte,MG,SUDESTE,SEMILEITO,MISTO,586,301 a 600 km,42,35,9.77,1,nao,0.7,0.97,0.7,0.2357,3.917182748991623,360.87
L12,Uberlandia MG - Sao Paulo SP,Uberlandia,MG,Sao Paulo,SP,SUDESTE,EXECUTIVO,CORPORATIVO,588,301 a 600 km,44,28,9.8,1,nao,0.68,0.98,0.6,0.1951,3.8009957776213943,361.8
L13,Fortaleza CE - Teresina PI,Fortaleza,CE,Teresina,PI,NORDESTE,CONVENCIONAL,MISTO,588,301 a 600 km,46,14,9.8,1,nao,0.5,0.92,0.9,0.1564,3.6473061224489802,361.8
L14,Campo Grande MS - Cuiaba MT,Campo Grande,MS,Cuiaba,MT,CENTRO_OESTE,SEMILEITO,MISTO,694,601 a 900 km,42,14,11.57,2,sim,0.6,0.98,0.8,0.231,4.77096305999476,1073.3400000000001
L15,Brasilia DF - Belo Horizonte MG,Brasilia,DF,Belo Horizonte,MG,CENTRO_OESTE,SEMILEITO,MISTO,716,601 a 900 km,42,14,11.93,2,sim,0.58,0.95,0.8,0.2226,4.75461503301168,1095.6599999999999
L16,Manaus AM - Boa Vista RR,Manaus,AM,Boa Vista,RR,NORTE,CONVENCIONAL,MISTO,785,601 a 900 km,46,7,13.08,2,sim,0.6,0.92,0.7,0.1484,4.5605732484076436,1166.96
L17,Belem PA - Sao Luis MA,Belem,PA,Sao Luis,MA,NORTE,SEMILEITO,MISTO,806,601 a 900 km,42,7,13.43,2,sim,0.55,0.95,0.9,0.2179,4.7351279043537104,1188.6599999999999
L18,Cuiaba MT - Goiania GO,Cuiaba,MT,Goiania,GO,CENTRO_OESTE,SEMILEITO,MISTO,934,acima de 900 km,42,7,15.57,2,sim,0.57,0.96,0.8,0.2145,4.6390745571345136,1321.3400000000001
L19,Campo Grande MS - Sao Paulo SP,Campo Grande,MS,Sao Paulo,SP,CENTRO_OESTE,LEITO,MISTO,1014,acima de 900 km,26,14,16.9,2,sim,0.63,1.0,0.9,0.3522,4.78418285183896,1403.8
L20,Sao Paulo SP - Foz do Iguacu PR,Sao Paulo,SP,Foz do Iguacu,PR,SUL,LEITO,LAZER,1030,acima de 900 km,26,7,17.17,2,sim,0.58,1.02,1.6,0.3582,4.815929754426042,1420.5400000000002
