linha_id,janela_inicio,janela_fim,partidas,assentos_km,passageiros,passageiros_km,receita,custo_variavel,custo_fixo_rateado,custo_total,margem_contribuicao,margem_contribuicao_pct,resultado,load_factor,yield_pax_km,tarifa_media,rask,cask_variavel,cask_total,spread_rask_cask,classificacao,no_limite,motivo,alavanca
L05,2025-10,2026-09,1825,31273200,56298,22969584,5929276.93,2948755.36,808945.56,3757700.92,2980521.57,0.5027,2171576.01,0.7345,0.2581,105.32,0.1896,0.0943,0.1202,0.0694,MANTER,nao,cobre o custo cheio com folga,acompanhar
L01,2025-10,2026-09,2190,20139240,71013,14841717,3415391.6,1786155.54,497263.59,2283419.14,1629236.06,0.477,1131972.46,0.737,0.2301,48.1,0.1696,0.0887,0.1134,0.0562,MANTER,nao,cobre o custo cheio com folga,acompanhar
L08,2025-10,2026-09,1095,21891240,31472,14980672,3799350.27,2032581.8,566261.89,2598843.7,1766768.47,0.465,1200506.57,0.6843,0.2536,120.72,0.1736,0.0928,0.1187,0.0548,MANTER,nao,cobre o custo cheio com folga,acompanhar
L11,2025-10,2026-09,1825,44916900,55912,32764432,7768486.11,4189231.09,1161867.89,5351098.98,3579255.02,0.4607,2417387.13,0.7294,0.2371,138.94,0.173,0.0933,0.1191,0.0538,MANTER,nao,cobre o custo cheio com folga,acompanhar
L03,2025-10,2026-09,1095,14454000,34192,10257600,2358786.39,1266594.05,356887.75,1623481.8,1092192.34,0.463,735304.59,0.7097,0.23,68.99,0.1632,0.0876,0.1123,0.0509,MANTER,nao,cobre o custo cheio com folga,acompanhar
L07,2025-10,2026-09,1460,26612880,40564,17604776,4294700.19,2503785.85,688396.81,3192182.66,1790914.34,0.417,1102517.53,0.6615,0.244,105.87,0.1614,0.0941,0.1199,0.0414,MANTER,nao,cobre o custo cheio com folga,acompanhar
L02,2025-10,2026-09,1460,17327280,47570,12273060,2430951.97,1421391.76,409231.28,1830623.04,1009560.21,0.4153,600328.93,0.7083,0.1981,51.1,0.1403,0.082,0.1056,0.0346,MANTER,nao,cobre o custo cheio com folga,acompanhar
L06,2025-10,2026-09,2555,48228180,85157,36532353,7047689.31,4206324.25,1190815.45,5397139.7,2841365.06,0.4032,1650549.61,0.7575,0.1929,82.76,0.1461,0.0872,0.1119,0.0342,MANTER,nao,cobre o custo cheio com folga,acompanhar
L04,2025-10,2026-09,1095,17152080,31328,11152768,2408543.71,1474294.33,423506.79,1897801.12,934249.38,0.3879,510742.59,0.6502,0.216,76.88,0.1404,0.086,0.1106,0.0298,MANTER,nao,cobre o custo cheio com folga,acompanhar
L12,2025-10,2026-09,1460,37773120,44857,26375916,5141324.35,3263078.86,932666.64,4195745.5,1878245.49,0.3653,945578.85,0.6983,0.1949,114.62,0.1361,0.0864,0.1111,0.025,MANTER,nao,cobre o custo cheio com folga,acompanhar
L10,2025-10,2026-09,730,18032460,22433,12046521,2102140.17,1433452.82,425886.04,1859338.86,668687.35,0.3181,242801.31,0.668,0.1745,93.71,0.1166,0.0795,0.1031,0.0135,MANTER,nao,cobre o custo cheio com folga,acompanhar
L09,2025-10,2026-09,1095,25101780,30630,15958230,3101726.08,2175572.62,619795.05,2795367.67,926153.46,0.2986,306358.41,0.6357,0.1944,101.26,0.1236,0.0867,0.1114,0.0122,MANTER,nao,cobre o custo cheio com folga,acompanhar
L19,2025-10,2026-09,730,19245720,12544,12719616,4489198.82,3541347.83,804187.06,4345534.89,947850.99,0.2111,143663.93,0.6609,0.3529,357.88,0.2333,0.184,0.2258,0.0075,MANTER,sim,"cobre o custo cheio, com folga estreita",ocupacao (rever frequencia e horario)
L14,2025-10,2026-09,730,21278040,18573,12889662,2985222.66,2417065.31,550400.21,2967465.52,568157.35,0.1903,17757.14,0.6058,0.2316,160.73,0.1403,0.1136,0.1395,0.0008,MANTER,sim,"cobre o custo cheio, com folga estreita",ocupacao (rever frequencia e horario)
L15,2025-10,2026-09,730,21952560,18282,13089912,2914360.32,2485142.19,567848.06,3052990.24,429218.13,0.1473,-138629.92,0.5963,0.2226,159.41,0.1328,0.1132,0.1391,-0.0063,AJUSTAR,sim,"cobre o variavel, nao o fixo rateado",ocupacao (rever frequencia e horario)
L18,2025-10,2026-09,365,14318220,8859,8274306,1753442.5,1581506.91,370370.17,1951877.08,171935.59,0.0981,-198434.58,0.5779,0.2119,197.93,0.1225,0.1105,0.1363,-0.0139,AJUSTAR,nao,"cobre o variavel, nao o fixo rateado",ocupacao e preco
L17,2025-10,2026-09,365,12355980,8614,6942884,1525117.16,1393027.28,319612.8,1712640.08,132089.88,0.0866,-187522.92,0.5619,0.2197,177.05,0.1234,0.1127,0.1386,-0.0152,AJUSTAR,nao,"cobre o variavel, nao o fixo rateado",ocupacao e preco
L20,2025-10,2026-09,365,9774700,5508,5673240,2042505.51,1810548.79,408438.2,2218986.99,231956.72,0.1136,-176481.48,0.5804,0.36,370.83,0.209,0.1852,0.227,-0.0181,AJUSTAR,nao,"cobre o variavel, nao o fixo rateado",ocupacao (rever frequencia e horario)
L13,2025-10,2026-09,730,19745040,16891,9931908,1544739.02,1565569.68,466333.32,2031903.0,-20830.66,-0.0135,-487163.98,0.503,0.1555,91.45,0.0782,0.0793,0.1029,-0.0247,REVER,nao,receita nao cobre o custo variavel,ocupacao e preco
L16,2025-10,2026-09,365,13180150,10338,8115330,1216376.87,1306718.25,311285.42,1618003.67,-90341.38,-0.0743,-401626.8,0.6157,0.1499,117.66,0.0923,0.0991,0.1228,-0.0305,REVER,nao,receita nao cobre o custo variavel,ocupacao e preco
