linha_id,data,componente,custo
L01,2024-10-01,custo_combustivel,82439.69
L01,2024-10-01,custo_fixo_rateado,41438.63
L01,2024-10-01,custo_manutencao,24801.61
L01,2024-10-01,custo_pedagio,3498.66
L01,2024-10-01,custo_pneus,10107.24
L01,2024-10-01,custo_tripulacao,30853.68
L01,2024-11-01,custo_combustivel,79780.34
L01,2024-11-01,custo_fixo_rateado,41438.63
L01,2024-11-01,custo_manutencao,24001.56
L01,2024-11-01,custo_pedagio,3385.8
L01,2024-11-01,custo_pneus,9781.2
L01,2024-11-01,custo_tripulacao,29858.4
L01,2024-12-01,custo_combustivel,82439.69
L01,2024-12-01,custo_fixo_rateado,41438.63
L01,2024-12-01,custo_manutencao,24801.61
L01,2024-12-01,custo_pedagio,3498.66
L01,2024-12-01,custo_pneus,10107.24
L01,2024-12-01,custo_tripulacao,30853.68
L01,2025-01-01,custo_combustivel,82439.69
L01,2025-01-01,custo_fixo_rateado,41438.63
L01,2025-01-01,custo_manutencao,24801.61
L01,2025-01-01,custo_pedagio,3498.66
L01,2025-01-01,custo_pneus,10107.24
L01,2025-01-01,custo_tripulacao,30853.68
L01,2025-02-01,custo_combustivel,74461.66
L01,2025-02-01,custo_fixo_rateado,41438.63
L01,2025-02-01,custo_manutencao,22401.46
L01,2025-02-01,custo_pedagio,3160.08
L01,2025-02-01,custo_pneus,9129.12
L01,2025-02-01,custo_tripulacao,27867.84
L01,2025-03-01,custo_combustivel,82439.69
L01,2025-03-01,custo_fixo_rateado,41438.63
L01,2025-03-01,custo_manutencao,24801.61
L01,2025-03-01,custo_pedagio,3498.66
L01,2025-03-01,custo_pneus,10107.24
L01,2025-03-01,custo_tripulacao,30853.68
L01,2025-04-01,custo_combustivel,79780.34
L01,2025-04-01,custo_fixo_rateado,41438.63
L01,2025-04-01,custo_manutencao,24001.56
L01,2025-04-01,custo_pedagio,3385.8
L01,2025-04-01,custo_pneus,9781.2
L01,2025-04-01,custo_tripulacao,29858.4
L01,2025-05-01,custo_combustivel,82439.69
L01,2025-05-01,custo_fixo_rateado,41438.63
L01,2025-05-01,custo_manutencao,24801.61
L01,2025-05-01,custo_pedagio,3498.66
L01,2025-05-01,custo_pneus,10107.24
L01,2025-05-01,custo_tripulacao,30853.68
L01,2025-06-01,custo_combustivel,79780.34
L01,2025-06-01,custo_fixo_rateado,41438.63
L01,2025-06-01,custo_manutencao,24001.56
L01,2025-06-01,custo_pedagio,3385.8
L01,2025-06-01,custo_pneus,9781.2
L01,2025-06-01,custo_tripulacao,29858.4
L01,2025-07-01,custo_combustivel,82439.69
L01,2025-07-01,custo_fixo_rateado,41438.63
L01,2025-07-01,custo_manutencao,24801.61
L01,2025-07-01,custo_pedagio,3498.66
L01,2025-07-01,custo_pneus,10107.24
L01,2025-07-01,custo_tripulacao,30853.68
L01,2025-08-01,custo_combustivel,82439.69
L01,2025-08-01,custo_fixo_rateado,41438.63
L01,2025-08-01,custo_manutencao,24801.61
L01,2025-08-01,custo_pedagio,3498.66
L01,2025-08-01,custo_pneus,10107.24
L01,2025-08-01,custo_tripulacao,30853.68
L01,2025-09-01,custo_combustivel,79780.34
L01,2025-09-01,custo_fixo_rateado,41438.63
L01,2025-09-01,custo_manutencao,24001.56
L01,2025-09-01,custo_pedagio,3385.8
L01,2025-09-01,custo_pneus,9781.2
L01,2025-09-01,custo_tripulacao,29858.4
L01,2025-10-01,custo_combustivel,82439.69
L01,2025-10-01,custo_fixo_rateado,41438.63
L01,2025-10-01,custo_manutencao,24801.61
L01,2025-10-01,custo_pedagio,3498.66
L01,2025-10-01,custo_pneus,10107.24
L01,2025-10-01,custo_tripulacao,30853.68
L01,2025-11-01,custo_combustivel,79780.34
L01,2025-11-01,custo_fixo_rateado,41438.63
L01,2025-11-01,custo_manutencao,24001.56
L01,2025-11-01,custo_pedagio,3385.8
L01,2025-11-01,custo_pneus,9781.2
L01,2025-11-01,custo_tripulacao,29858.4
L01,2025-12-01,custo_combustivel,82439.69
L01,2025-12-01,custo_fixo_rateado,41438.63
L01,2025-12-01,custo_manutencao,24801.61
L01,2025-12-01,custo_pedagio,3498.66
L01,2025-12-01,custo_pneus,10107.24
L01,2025-12-01,custo_tripulacao,30853.68
L01,2026-01-01,custo_combustivel,82439.69
L01,2026-01-01,custo_fixo_rateado,41438.63
L01,2026-01-01,custo_manutencao,24801.61
L01,2026-01-01,custo_pedagio,3498.66
L01,2026-01-01,custo_pneus,10107.24
L01,2026-01-01,custo_tripulacao,30853.68
L01,2026-02-01,custo_combustivel,74461.66
L01,2026-02-01,custo_fixo_rateado,41438.63
L01,2026-02-01,custo_manutencao,22401.46
L01,2026-02-01,custo_pedagio,3160.08
L01,2026-02-01,custo_pneus,9129.12
L01,2026-02-01,custo_tripulacao,27867.84
L01,2026-03-01,custo_combustivel,82439.69
L01,2026-03-01,custo_fixo_rateado,41438.63
L01,2026-03-01,custo_manutencao,24801.61
L01,2026-03-01,custo_pedagio,3498.66
L01,2026-03-01,custo_pneus,10107.24
L01,2026-03-01,custo_tripulacao,30853.68
L01,2026-04-01,custo_combustivel,79780.34
L01,2026-04-01,custo_fixo_rateado,41438.63
L01,2026-04-01,custo_manutencao,24001.56
L01,2026-04-01,custo_pedagio,3385.8
L01,2026-04-01,custo_pneus,9781.2
L01,2026-04-01,custo_tripulacao,29858.4
L01,2026-05-01,custo_combustivel,82439.69
L01,2026-05-01,custo_fixo_rateado,41438.63
L01,2026-05-01,custo_manutencao,24801.61
L01,2026-05-01,custo_pedagio,3498.66
L01,2026-05-01,custo_pneus,10107.24
L01,2026-05-01,custo_tripulacao,30853.68
L01,2026-06-01,custo_combustivel,79780.34
L01,2026-06-01,custo_fixo_rateado,41438.63
L01,2026-06-01,custo_manutencao,24001.56
L01,2026-06-01,custo_pedagio,3385.8
L01,2026-06-01,custo_pneus,9781.2
L01,2026-06-01,custo_tripulacao,29858.4
L01,2026-07-01,custo_combustivel,82439.69
L01,2026-07-01,custo_fixo_rateado,41438.63
L01,2026-07-01,custo_manutencao,24801.61
L01,2026-07-01,custo_pedagio,3498.66
L01,2026-07-01,custo_pneus,10107.24
L01,2026-07-01,custo_tripulacao,30853.68
L01,2026-08-01,custo_combustivel,82439.69
L01,2026-08-01,custo_fixo_rateado,41438.63
L01,2026-08-01,custo_manutencao,24801.61
L01,2026-08-01,custo_pedagio,3498.66
L01,2026-08-01,custo_pneus,10107.24
L01,2026-08-01,custo_tripulacao,30853.68
L01,2026-09-01,custo_combustivel,79780.34
L01,2026-09-01,custo_fixo_rateado,41438.63
L01,2026-09-01,custo_manutencao,24001.56
L01,2026-09-01,custo_pedagio,3385.8
L01,2026-09-01,custo_pneus,9781.2
L01,2026-09-01,custo_tripulacao,29858.4
L02,2024-10-01,custo_combustivel,65583.6
L02,2024-10-01,custo_fixo_rateado,34102.61
L02,2024-10-01,custo_manutencao,21338.66
L02,2024-10-01,custo_pedagio,1759.56
L02,2024-10-01,custo_pneus,8317.92
L02,2024-10-01,custo_tripulacao,23721.2
L02,2024-11-01,custo_combustivel,63468.0
L02,2024-11-01,custo_fixo_rateado,34102.61
L02,2024-11-01,custo_manutencao,20650.32
L02,2024-11-01,custo_pedagio,1702.8
L02,2024-11-01,custo_pneus,8049.6
L02,2024-11-01,custo_tripulacao,22956.0
L02,2024-12-01,custo_combustivel,65583.6
L02,2024-12-01,custo_fixo_rateado,34102.61
L02,2024-12-01,custo_manutencao,21338.66
L02,2024-12-01,custo_pedagio,1759.56
L02,2024-12-01,custo_pneus,8317.92
L02,2024-12-01,custo_tripulacao,23721.2
L02,2025-01-01,custo_combustivel,65583.6
L02,2025-01-01,custo_fixo_rateado,34102.61
L02,2025-01-01,custo_manutencao,21338.66
L02,2025-01-01,custo_pedagio,1759.56
L02,2025-01-01,custo_pneus,8317.92
L02,2025-01-01,custo_tripulacao,23721.2
L02,2025-02-01,custo_combustivel,59236.8
L02,2025-02-01,custo_fixo_rateado,34102.61
L02,2025-02-01,custo_manutencao,19273.63
L02,2025-02-01,custo_pedagio,1589.28
L02,2025-02-01,custo_pneus,7512.96
L02,2025-02-01,custo_tripulacao,21425.6
L02,2025-03-01,custo_combustivel,65583.6
L02,2025-03-01,custo_fixo_rateado,34102.61
L02,2025-03-01,custo_manutencao,21338.66
L02,2025-03-01,custo_pedagio,1759.56
L02,2025-03-01,custo_pneus,8317.92
L02,2025-03-01,custo_tripulacao,23721.2
L02,2025-04-01,custo_combustivel,63468.0
L02,2025-04-01,custo_fixo_rateado,34102.61
L02,2025-04-01,custo_manutencao,20650.32
L02,2025-04-01,custo_pedagio,1702.8
L02,2025-04-01,custo_pneus,8049.6
L02,2025-04-01,custo_tripulacao,22956.0
L02,2025-05-01,custo_combustivel,65583.6
L02,2025-05-01,custo_fixo_rateado,34102.61
L02,2025-05-01,custo_manutencao,21338.66
L02,2025-05-01,custo_pedagio,1759.56
L02,2025-05-01,custo_pneus,8317.92
L02,2025-05-01,custo_tripulacao,23721.2
L02,2025-06-01,custo_combustivel,63468.0
L02,2025-06-01,custo_fixo_rateado,34102.61
L02,2025-06-01,custo_manutencao,20650.32
L02,2025-06-01,custo_pedagio,1702.8
L02,2025-06-01,custo_pneus,8049.6
L02,2025-06-01,custo_tripulacao,22956.0
L02,2025-07-01,custo_combustivel,65583.6
L02,2025-07-01,custo_fixo_rateado,34102.61
L02,2025-07-01,custo_manutencao,21338.66
L02,2025-07-01,custo_pedagio,1759.56
L02,2025-07-01,custo_pneus,8317.92
L02,2025-07-01,custo_tripulacao,23721.2
L02,2025-08-01,custo_combustivel,65583.6
L02,2025-08-01,custo_fixo_rateado,34102.61
L02,2025-08-01,custo_manutencao,21338.66
L02,2025-08-01,custo_pedagio,1759.56
L02,2025-08-01,custo_pneus,8317.92
L02,2025-08-01,custo_tripulacao,23721.2
L02,2025-09-01,custo_combustivel,63468.0
L02,2025-09-01,custo_fixo_rateado,34102.61
L02,2025-09-01,custo_manutencao,20650.32
L02,2025-09-01,custo_pedagio,1702.8
L02,2025-09-01,custo_pneus,8049.6
L02,2025-09-01,custo_tripulacao,22956.0
L02,2025-10-01,custo_combustivel,65583.6
L02,2025-10-01,custo_fixo_rateado,34102.61
L02,2025-10-01,custo_manutencao,21338.66
L02,2025-10-01,custo_pedagio,1759.56
L02,2025-10-01,custo_pneus,8317.92
L02,2025-10-01,custo_tripulacao,23721.2
L02,2025-11-01,custo_combustivel,63468.0
L02,2025-11-01,custo_fixo_rateado,34102.61
L02,2025-11-01,custo_manutencao,20650.32
L02,2025-11-01,custo_pedagio,1702.8
L02,2025-11-01,custo_pneus,8049.6
L02,2025-11-01,custo_tripulacao,22956.0
L02,2025-12-01,custo_combustivel,65583.6
L02,2025-12-01,custo_fixo_rateado,34102.61
L02,2025-12-01,custo_manutencao,21338.66
L02,2025-12-01,custo_pedagio,1759.56
L02,2025-12-01,custo_pneus,8317.92
L02,2025-12-01,custo_tripulacao,23721.2
L02,2026-01-01,custo_combustivel,65583.6
L02,2026-01-01,custo_fixo_rateado,34102.61
L02,2026-01-01,custo_manutencao,21338.66
L02,2026-01-01,custo_pedagio,1759.56
L02,2026-01-01,custo_pneus,8317.92
L02,2026-01-01,custo_tripulacao,23721.2
L02,2026-02-01,custo_combustivel,59236.8
L02,2026-02-01,custo_fixo_rateado,34102.61
L02,2026-02-01,custo_manutencao,19273.63
L02,2026-02-01,custo_pedagio,1589.28
L02,2026-02-01,custo_pneus,7512.96
L02,2026-02-01,custo_tripulacao,21425.6
L02,2026-03-01,custo_combustivel,65583.6
L02,2026-03-01,custo_fixo_rateado,34102.61
L02,2026-03-01,custo_manutencao,21338.66
L02,2026-03-01,custo_pedagio,1759.56
L02,2026-03-01,custo_pneus,8317.92
L02,2026-03-01,custo_tripulacao,23721.2
L02,2026-04-01,custo_combustivel,63468.0
L02,2026-04-01,custo_fixo_rateado,34102.61
L02,2026-04-01,custo_manutencao,20650.32
L02,2026-04-01,custo_pedagio,1702.8
L02,2026-04-01,custo_pneus,8049.6
L02,2026-04-01,custo_tripulacao,22956.0
L02,2026-05-01,custo_combustivel,65583.6
L02,2026-05-01,custo_fixo_rateado,34102.61
L02,2026-05-01,custo_manutencao,21338.66
L02,2026-05-01,custo_pedagio,1759.56
L02,2026-05-01,custo_pneus,8317.92
L02,2026-05-01,custo_tripulacao,23721.2
L02,2026-06-01,custo_combustivel,63468.0
L02,2026-06-01,custo_fixo_rateado,34102.61
L02,2026-06-01,custo_manutencao,20650.32
L02,2026-06-01,custo_pedagio,1702.8
L02,2026-06-01,custo_pneus,8049.6
L02,2026-06-01,custo_tripulacao,22956.0
L02,2026-07-01,custo_combustivel,65583.6
L02,2026-07-01,custo_fixo_rateado,34102.61
L02,2026-07-01,custo_manutencao,21338.66
L02,2026-07-01,custo_pedagio,1759.56
L02,2026-07-01,custo_pneus,8317.92
L02,2026-07-01,custo_tripulacao,23721.2
L02,2026-08-01,custo_combustivel,65583.6
L02,2026-08-01,custo_fixo_rateado,34102.61
L02,2026-08-01,custo_manutencao,21338.66
L02,2026-08-01,custo_pedagio,1759.56
L02,2026-08-01,custo_pneus,8317.92
L02,2026-08-01,custo_tripulacao,23721.2
L02,2026-09-01,custo_combustivel,63468.0
L02,2026-09-01,custo_fixo_rateado,34102.61
L02,2026-09-01,custo_manutencao,20650.32
L02,2026-09-01,custo_pedagio,1702.8
L02,2026-09-01,custo_pneus,8049.6
L02,2026-09-01,custo_tripulacao,22956.0
L03,2024-10-01,custo_combustivel,59167.24
L03,2024-10-01,custo_fixo_rateado,29740.65
L03,2024-10-01,custo_manutencao,16182.0
L03,2024-10-01,custo_pedagio,5161.5
L03,2024-10-01,custo_pneus,7254.0
L03,2024-10-01,custo_tripulacao,19809.0
L03,2024-11-01,custo_combustivel,57258.62
L03,2024-11-01,custo_fixo_rateado,29740.65
L03,2024-11-01,custo_manutencao,15660.0
L03,2024-11-01,custo_pedagio,4995.0
L03,2024-11-01,custo_pneus,7020.0
L03,2024-11-01,custo_tripulacao,19170.0
L03,2024-12-01,custo_combustivel,59167.24
L03,2024-12-01,custo_fixo_rateado,29740.65
